,Number_of_Pitches,Number_of_Pitch_Classes,Range,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Mean_Pitch,Mean_Pitch_Class,Pitch_Variability,Pitch_Class_Variability,Pitch_Skewness,Pitch_Class_Skewness,Average_Number_of_Simultaneous_Pitch_Classes,Variability_of_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Variability_of_Number_of_Simultaneous_Pitches,Most_Common_Vertical_Interval,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Vertical_Octaves,Perfect_Vertical_Intervals,Vertical_Dissonance_Ratio,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Standard_Triads,Diminished_and_Augmented_Triads,Non-Standard_Chords,Initial_Time_Signature_0,Initial_Time_Signature_1,Metrical_Diversity,Total_Number_of_Notes,Note_Density_per_Quarter_Note,Range_of_Rhythmic_Values,Number_of_Different_Rhythmic_Values_Present,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Dotted_Notes,Mean_Rhythmic_Value,Number_of_Pitched_Instruments
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10633.mid",22.0, 8.0, 33.0, 0.1378, 0.8539, 0.008351, 60.0, 5.288, 6.429, 3.807, 0.3985, 0.2271, 2.259, 0.5963, 2.537, 0.6907, 4.0, 0.005911, 0.334, 0.01379, 0.0867, 0.1724, 0.1675, 0.06305, 0.1281, 0.3872, 0.1253, 0.3254, 0.3103, 0.826, 0.2083, 0.0162, 0.1273, 2.0, 2.0, 1.0, 479.0, 2.065, 7.0, 7.0, 0.0, 0.2443, 0.9499, 0.2317, 0.01253, 0.1023, 1.245, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10634.mid",21.0, 9.0, 31.0, 0.1873, 0.7968, 0.01583, 60.0, 5.148, 6.539, 3.381, -0.4503, -0.7561, 2.774, 0.4911, 3.296, 0.759, 7.0, 9.005E-4, 0.3296, 0.01621, 0.1099, 0.2436, 0.1297, 0.02521, 0.1315, 0.4867, 0.05712, 0.6342, 0.5496, 0.9289, 0.5818, 0.04833, 0.171, 2.0, 2.0, 1.0, 379.0, 2.787, 7.0, 8.0, 0.01583, 0.19, 0.9604, 0.2269, 0.0, 0.04749, 1.185, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10635.mid",20.0, 8.0, 29.0, 0.2202, 0.7798, 0.0, 59.0, 5.054, 7.208, 3.637, -0.3939, 0.04419, 2.273, 0.5979, 2.642, 0.7169, 7.0, 0.0, 0.3115, 0.007026, 0.09836, 0.2576, 0.1335, 0.02108, 0.1546, 0.5105, 0.04657, 0.2841, 0.3636, 0.8863, 0.3148, 0.01235, 0.0679, 2.0, 2.0, 1.0, 168.0, 1.909, 6.0, 6.0, 0.0, 0.2976, 0.9107, 0.3631, 0.0, 0.04167, 1.387, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10636.mid",25.0, 10.0, 33.0, 0.2752, 0.7049, 0.01988, 58.0, 5.746, 8.093, 3.708, -0.07708, -1.014, 2.219, 0.6329, 2.604, 0.8699, 7.0, 0.004491, 0.3057, 0.01059, 0.09432, 0.1999, 0.1408, 0.03722, 0.1707, 0.4649, 0.09715, 0.2737, 0.3331, 0.7835, 0.2133, 0.0158, 0.115, 2.0, 2.0, 1.0, 654.0, 2.07, 9.0, 9.0, 0.01835, 0.3196, 0.893, 0.2462, 0.01376, 0.09633, 1.272, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10637.mid",27.0, 11.0, 31.0, 0.2158, 0.7824, 0.001799, 59.0, 5.088, 6.424, 3.602, -0.4057, 0.07339, 2.584, 0.6941, 2.978, 0.9011, 7.0, 0.005996, 0.3314, 0.02199, 0.1003, 0.2022, 0.1466, 0.0483, 0.1203, 0.4227, 0.1102, 0.4922, 0.3594, 0.7342, 0.3976, 0.05269, 0.2419, 2.0, 2.0, 1.0, 556.0, 2.482, 8.0, 8.0, 0.01439, 0.3417, 0.9083, 0.2212, 0.007194, 0.1187, 1.201, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10638.mid",27.0, 11.0, 32.0, 0.1695, 0.806, 0.02458, 60.0, 5.162, 7.071, 3.408, -0.4566, 0.1423, 2.541, 0.6138, 3.092, 0.9092, 7.0, 0.004735, 0.2706, 0.005682, 0.1229, 0.2443, 0.1075, 0.03172, 0.1688, 0.5388, 0.09063, 0.4523, 0.3663, 0.7593, 0.3658, 0.009009, 0.1991, 2.0, 2.0, 1.0, 773.0, 2.684, 8.0, 8.0, 0.02846, 0.3299, 0.9301, 0.229, 0.006468, 0.08926, 1.165, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10639.mid",20.0, 8.0, 29.0, 0.2534, 0.7466, 0.0, 59.0, 4.675, 7.124, 3.477, -0.3851, -0.2807, 2.131, 0.6565, 2.463, 0.7562, 4.0, 0.002899, 0.3507, 0.007246, 0.06377, 0.2232, 0.0913, 0.04783, 0.171, 0.4638, 0.104, 0.2439, 0.372, 0.8651, 0.2036, 0.01429, 0.1071, 2.0, 2.0, 1.0, 292.0, 1.78, 7.0, 7.0, 0.0, 0.339, 0.8904, 0.3253, 0.003425, 0.07877, 1.399, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10640.mid",21.0, 8.0, 31.0, 0.2702, 0.7182, 0.01155, 59.0, 5.815, 7.957, 3.612, 0.02003, -0.9841, 2.106, 0.6544, 2.56, 0.8219, 0.0, 0.002671, 0.3295, 0.005343, 0.06144, 0.1656, 0.1354, 0.04452, 0.2253, 0.4541, 0.08818, 0.2938, 0.3625, 0.9933, 0.2173, 0.01481, 0.07654, 2.0, 2.0, 1.0, 433.0, 1.804, 8.0, 8.0, 0.0, 0.1848, 0.8915, 0.2864, 0.0254, 0.1293, 1.43, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10641.mid",20.0, 9.0, 29.0, 0.1712, 0.8288, 0.0, 60.0, 5.586, 7.147, 3.66, -0.3636, -1.159, 2.493, 0.6801, 2.92, 0.9252, 7.0, 0.003796, 0.2847, 0.01307, 0.1191, 0.2022, 0.1495, 0.04534, 0.1451, 0.4665, 0.1103, 0.3501, 0.4251, 0.8166, 0.3725, 0.01594, 0.1594, 2.0, 2.0, 2.0, 777.0, 2.117, 9.0, 9.0, 0.02188, 0.2896, 0.8559, 0.2741, 0.02188, 0.1377, 1.395, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10642.mid",20.0, 8.0, 29.0, 0.303, 0.697, 0.0, 58.0, 5.354, 7.397, 3.471, 0.2913, 0.3058, 2.298, 0.6164, 2.842, 0.8732, 7.0, 0.003475, 0.3586, 0.01112, 0.09034, 0.1939, 0.1313, 0.01181, 0.1869, 0.4712, 0.04049, 0.4021, 0.4375, 0.9691, 0.3424, 0.01814, 0.06349, 2.0, 2.0, 1.0, 472.0, 1.967, 7.0, 7.0, 0.0, 0.1568, 0.947, 0.4174, 0.002119, 0.05932, 1.449, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10643.mid",23.0, 9.0, 31.0, 0.2447, 0.7526, 0.002641, 59.0, 5.366, 6.966, 3.427, -0.2548, 0.3206, 2.12, 0.6787, 2.401, 0.729, 7.0, 0.01258, 0.3219, 0.01158, 0.06393, 0.1865, 0.1671, 0.06041, 0.1457, 0.3962, 0.1297, 0.2613, 0.2794, 0.6512, 0.1929, 0.008111, 0.0927, 4.0, 4.0, 2.0, 1136.0, 2.193, 8.0, 8.0, 0.03873, 0.4454, 0.8952, 0.1805, 0.008803, 0.1012, 1.094, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10644.mid",26.0, 11.0, 32.0, 0.2372, 0.7564, 0.00641, 59.0, 5.337, 7.047, 3.482, -0.1023, 0.2899, 2.355, 0.6989, 2.726, 0.8797, 7.0, 0.005532, 0.285, 0.01711, 0.1369, 0.1718, 0.1824, 0.03959, 0.1398, 0.4486, 0.09172, 0.3168, 0.3239, 0.8023, 0.3311, 0.02842, 0.1279, 2.0, 2.0, 1.0, 1248.0, 2.364, 9.0, 9.0, 0.03526, 0.2604, 0.9207, 0.1803, 0.01202, 0.09135, 1.163, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10645.mid",26.0, 10.0, 32.0, 0.2419, 0.7411, 0.01705, 59.0, 5.256, 8.034, 3.513, -0.1355, -0.6355, 2.52, 0.6374, 3.096, 0.8645, 7.0, 0.005156, 0.2787, 0.01237, 0.08636, 0.2222, 0.1598, 0.03867, 0.1671, 0.4756, 0.09391, 0.3731, 0.3993, 0.7377, 0.3862, 0.01362, 0.1498, 2.0, 2.0, 1.0, 645.0, 2.407, 9.0, 10.0, 0.05581, 0.3302, 0.8946, 0.338, 0.007752, 0.09612, 1.295, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10646.mid",22.0, 9.0, 31.0, 0.2475, 0.7511, 0.001422, 59.0, 5.117, 7.248, 3.465, -0.09361, 0.101, 2.409, 0.6594, 2.915, 0.8811, 4.0, 0.002712, 0.3285, 0.01953, 0.08137, 0.1774, 0.1687, 0.03553, 0.1625, 0.4212, 0.0889, 0.3672, 0.444, 0.7506, 0.3339, 0.03137, 0.1236, 2.0, 2.0, 1.0, 703.0, 2.424, 9.0, 9.0, 0.02845, 0.3016, 0.9431, 0.266, 0.009957, 0.08393, 1.21, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10647.mid",22.0, 9.0, 31.0, 0.2477, 0.7477, 0.004587, 59.0, 5.321, 7.048, 3.415, -0.1132, 0.2821, 2.324, 0.6183, 2.705, 0.7327, 4.0, 0.002954, 0.3269, 0.008863, 0.08321, 0.1974, 0.1704, 0.03594, 0.1472, 0.4318, 0.07631, 0.2806, 0.4554, 0.8007, 0.3393, 0.00554, 0.09557, 2.0, 2.0, 1.0, 436.0, 2.224, 9.0, 9.0, 0.01376, 0.3073, 0.9518, 0.2775, 0.01147, 0.08486, 1.227, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10648.mid",18.0, 8.0, 28.0, 0.1934, 0.8025, 0.004115, 61.0, 5.687, 7.006, 3.349, -0.3242, 0.6156, 2.127, 0.6284, 2.506, 0.7044, 4.0, 0.001775, 0.3478, 0.01242, 0.04969, 0.1854, 0.1597, 0.02307, 0.1881, 0.4232, 0.07436, 0.2008, 0.375, 0.8436, 0.2296, 0.01325, 0.08389, 2.0, 2.0, 1.0, 243.0, 1.841, 9.0, 9.0, 0.03292, 0.321, 0.8601, 0.3251, 0.01235, 0.1029, 1.383, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10649.mid",20.0, 8.0, 29.0, 0.2905, 0.7095, 0.0, 59.0, 5.397, 7.418, 3.435, -0.3685, 0.347, 2.264, 0.6004, 2.795, 0.8654, 0.0, 0.002843, 0.349, 0.01066, 0.09559, 0.1851, 0.1347, 0.01244, 0.1933, 0.4741, 0.04416, 0.3668, 0.4211, 0.9045, 0.3085, 0.01336, 0.06013, 2.0, 2.0, 1.0, 506.0, 2.074, 8.0, 8.0, 0.01186, 0.1937, 0.9466, 0.3636, 0.001976, 0.05929, 1.353, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10650.mid",22.0, 9.0, 31.0, 0.2841, 0.7006, 0.01536, 58.0, 5.599, 7.742, 3.68, -0.183, -1.142, 2.135, 0.6074, 2.485, 0.7759, 7.0, 0.00353, 0.2992, 0.004413, 0.07679, 0.2207, 0.1584, 0.04325, 0.1752, 0.4726, 0.07495, 0.2311, 0.3258, 0.8097, 0.2157, 0.002157, 0.0712, 2.0, 2.0, 1.0, 521.0, 1.973, 7.0, 7.0, 0.007678, 0.2956, 0.9021, 0.2495, 0.0, 0.09597, 1.268, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10651.mid",24.0, 10.0, 31.0, 0.1971, 0.7956, 0.007299, 59.0, 5.382, 6.908, 3.573, -0.02113, 0.3207, 2.294, 0.6273, 2.586, 0.7577, 3.0, 0.01344, 0.3427, 0.01588, 0.09591, 0.1772, 0.1619, 0.03054, 0.1271, 0.4142, 0.08843, 0.4506, 0.2689, 0.8243, 0.3121, 0.03185, 0.09554, 2.0, 2.0, 1.0, 411.0, 2.39, 8.0, 9.0, 0.02433, 0.3309, 0.9416, 0.1411, 0.01217, 0.1338, 1.101, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10652.mid",24.0, 10.0, 29.0, 0.3156, 0.6844, 0.0, 57.0, 5.216, 6.726, 3.23, 0.1854, 0.2003, 2.176, 0.6091, 2.449, 0.6435, 7.0, 0.009009, 0.2808, 0.01502, 0.08108, 0.1967, 0.2162, 0.04655, 0.1381, 0.4159, 0.09539, 0.3333, 0.1696, 0.8736, 0.1887, 0.03311, 0.09272, 4.0, 4.0, 2.0, 320.0, 1.839, 7.0, 7.0, 0.0, 0.1938, 0.9437, 0.275, 0.00625, 0.09063, 1.289, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10653.mid",24.0, 10.0, 31.0, 0.2635, 0.7264, 0.01014, 58.0, 5.845, 7.911, 3.757, -0.03331, -0.9225, 2.351, 0.5751, 2.882, 0.8687, 3.0, 0.00238, 0.3778, 0.01011, 0.06127, 0.1802, 0.1249, 0.03748, 0.1773, 0.4188, 0.08522, 0.4375, 0.4099, 0.7974, 0.2712, 0.02308, 0.1346, 2.0, 2.0, 1.0, 296.0, 2.176, 8.0, 9.0, 0.08108, 0.2973, 0.8378, 0.3378, 0.003378, 0.09797, 1.34, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10654.mid",25.0, 10.0, 34.0, 0.2543, 0.7285, 0.01721, 58.0, 5.413, 7.142, 3.337, 0.29, 0.3713, 2.506, 0.7642, 2.972, 1.027, 3.0, 0.005749, 0.3223, 0.01693, 0.09709, 0.1862, 0.1581, 0.04759, 0.1399, 0.4245, 0.1052, 0.49, 0.4049, 0.8314, 0.4094, 0.04192, 0.1776, 2.0, 2.0, 1.0, 523.0, 2.314, 9.0, 9.0, 0.04207, 0.2677, 0.8967, 0.2792, 0.02294, 0.109, 1.308, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10655.mid",24.0, 11.0, 29.0, 0.2429, 0.7571, 0.0, 58.0, 5.352, 7.032, 3.618, -0.171, 0.2921, 2.267, 0.6209, 2.655, 0.6961, 7.0, 0.003534, 0.3004, 0.02297, 0.07951, 0.1802, 0.2032, 0.0318, 0.159, 0.4187, 0.08429, 0.3448, 0.306, 0.8143, 0.2607, 0.03791, 0.128, 4.0, 4.0, 2.0, 247.0, 2.025, 7.0, 7.0, 0.0, 0.247, 0.9595, 0.2591, 0.004049, 0.08097, 1.245, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10656.mid",21.0, 9.0, 29.0, 0.2697, 0.7266, 0.003745, 58.0, 5.461, 6.662, 3.622, -0.3289, 0.3815, 2.153, 0.5988, 2.497, 0.6821, 3.0, 0.0033, 0.3317, 0.006601, 0.09736, 0.1733, 0.1238, 0.05116, 0.1634, 0.4356, 0.1222, 0.3542, 0.2812, 0.8649, 0.2179, 0.0, 0.06226, 2.0, 2.0, 1.0, 267.0, 1.854, 7.0, 7.0, 0.0, 0.2622, 0.9213, 0.3446, 0.003745, 0.1536, 1.358, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10657.mid",26.0, 11.0, 31.0, 0.2295, 0.7682, 0.002273, 59.0, 4.948, 6.891, 3.529, -0.2681, -0.04444, 2.224, 0.5648, 2.615, 0.7276, 7.0, 0.009564, 0.2965, 0.006575, 0.08966, 0.1883, 0.1614, 0.04543, 0.1763, 0.4543, 0.09633, 0.2997, 0.2784, 0.6421, 0.2107, 0.01374, 0.1023, 2.0, 2.0, 1.0, 440.0, 2.5, 7.0, 7.0, 0.08636, 0.4364, 0.8591, 0.1727, 0.0, 0.09545, 1.049, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10658.mid",22.0, 9.0, 29.0, 0.2605, 0.7395, 0.0, 59.0, 5.248, 7.279, 3.573, -0.353, 0.2085, 2.173, 0.6092, 2.514, 0.7574, 4.0, 0.002433, 0.3277, 0.01135, 0.08313, 0.1675, 0.1549, 0.05109, 0.1642, 0.4165, 0.1123, 0.2491, 0.3381, 0.7652, 0.2249, 0.008032, 0.0994, 4.0, 4.0, 2.0, 572.0, 1.993, 8.0, 8.0, 0.01399, 0.3497, 0.8794, 0.2308, 0.006993, 0.1276, 1.248, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10659.mid",21.0, 9.0, 29.0, 0.2449, 0.7551, 0.0, 59.0, 5.252, 6.783, 3.35, -0.1083, 0.2254, 2.023, 0.6214, 2.277, 0.7052, 4.0, 0.005663, 0.3896, 0.01019, 0.03964, 0.2186, 0.1212, 0.03171, 0.1472, 0.4145, 0.08078, 0.2246, 0.3457, 0.8423, 0.1868, 0.002364, 0.04255, 2.0, 2.0, 1.0, 441.0, 1.723, 7.0, 7.0, 0.0, 0.3356, 0.9025, 0.3152, 0.01587, 0.09524, 1.346, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10660.mid",19.0, 9.0, 26.0, 0.1957, 0.8043, 0.0, 60.0, 5.336, 6.521, 3.336, -0.4855, 0.3023, 2.305, 0.5824, 2.64, 0.5908, 4.0, 0.003623, 0.3134, 0.01449, 0.07428, 0.1993, 0.1884, 0.03261, 0.1431, 0.4167, 0.08876, 0.1907, 0.4195, 0.8403, 0.2321, 0.03125, 0.1161, 2.0, 2.0, 1.0, 235.0, 1.992, 7.0, 7.0, 0.0, 0.2383, 0.8979, 0.2766, 0.004255, 0.1149, 1.336, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10689.mid",19.0, 9.0, 29.0, 0.232, 0.768, 0.0, 59.0, 4.664, 7.359, 3.567, -0.3685, -0.2826, 2.059, 0.7046, 2.712, 0.569, 0.0, 0.0, 0.3276, 0.01024, 0.04437, 0.1502, 0.116, 0.01706, 0.3038, 0.4983, 0.06159, 0.1271, 0.4576, 1.015, 0.3043, 0.02174, 0.05435, 2.0, 2.0, 1.0, 125.0, 2.016, 6.0, 6.0, 0.0, 0.264, 0.92, 0.272, 0.0, 0.032, 1.28, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10690.mid",18.0, 10.0, 32.0, 0.07117, 0.9161, 0.01277, 63.0, 5.023, 5.97, 3.707, -0.3388, 0.01846, 2.361, 0.6631, 2.768, 0.8472, 7.0, 0.001155, 0.3185, 0.002021, 0.08894, 0.2593, 0.08461, 0.05487, 0.1507, 0.499, 0.1085, 0.2374, 0.4465, 0.3639, 0.3569, 0.0, 0.1324, 4.0, 4.0, 3.0, 1096.0, 3.383, 8.0, 9.0, 0.3896, 0.6962, 0.5401, 0.1068, 0.001825, 0.115, 0.784, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\10691.mid",19.0, 9.0, 28.0, 0.2424, 0.7424, 0.01515, 59.0, 4.485, 6.99, 3.384, -0.2601, -0.4567, 2.792, 0.4983, 3.625, 0.7807, 7.0, 0.004115, 0.3457, 0.004115, 0.1152, 0.2346, 0.1029, 0.01646, 0.1646, 0.5144, 0.03846, 0.7083, 0.6667, 0.9206, 0.7021, 0.02128, 0.1064, 2.0, 2.0, 1.0, 66.0, 2.75, 5.0, 5.0, 0.0, 0.1818, 0.9394, 0.3333, 0.0, 0.1212, 1.333, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\11485.mid",25.0, 10.0, 32.0, 0.2867, 0.6991, 0.01422, 58.0, 5.334, 7.882, 3.553, -0.4807, -0.5622, 2.317, 0.6977, 2.794, 0.8799, 7.0, 0.007538, 0.2839, 0.01508, 0.07739, 0.1975, 0.1719, 0.04271, 0.1729, 0.4477, 0.1068, 0.3256, 0.2994, 0.6073, 0.2897, 0.03437, 0.1604, 2.0, 2.0, 1.0, 422.0, 2.453, 8.0, 9.0, 0.1066, 0.4384, 0.8365, 0.2536, 0.00237, 0.09479, 1.146, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\11486.mid",23.0, 10.0, 31.0, 0.242, 0.7537, 0.004246, 59.0, 5.297, 7.486, 3.394, -0.2357, -0.6212, 2.466, 0.6015, 3.011, 0.7836, 7.0, 0.001442, 0.2974, 0.01658, 0.07138, 0.2073, 0.181, 0.02199, 0.1741, 0.4528, 0.07395, 0.4351, 0.3486, 0.8788, 0.367, 0.02996, 0.1361, 2.0, 2.0, 1.0, 471.0, 2.264, 9.0, 9.0, 0.02123, 0.1953, 0.9257, 0.3185, 0.01274, 0.06582, 1.344, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\11487.mid",21.0, 9.0, 29.0, 0.2615, 0.7385, 0.0, 58.0, 5.912, 7.771, 3.245, 0.1143, -1.006, 2.418, 0.5939, 3.16, 0.9152, 7.0, 0.0, 0.262, 0.01223, 0.09378, 0.2263, 0.1498, 0.01835, 0.2222, 0.5423, 0.04808, 0.3711, 0.3945, 0.5444, 0.3636, 0.05785, 0.1364, 2.0, 2.0, 1.0, 260.0, 4.062, 7.0, 8.0, 0.08846, 0.5692, 0.8923, 0.03846, 0.0, 0.05, 0.7808, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\11488.mid",26.0, 11.0, 31.0, 0.28, 0.7127, 0.007273, 58.0, 5.338, 7.5, 3.455, 0.1251, -0.5746, 2.821, 0.5891, 3.612, 0.7158, 7.0, 0.001675, 0.3434, 0.0201, 0.1122, 0.1893, 0.134, 0.02178, 0.165, 0.4665, 0.05945, 0.6833, 0.5833, 0.5857, 0.6121, 0.06034, 0.1767, 2.0, 2.0, 1.0, 275.0, 4.583, 8.0, 8.0, 0.06545, 0.5782, 0.9127, 0.02909, 0.01455, 0.06545, 0.7891, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\11489.mid",22.0, 9.0, 31.0, 0.314, 0.6768, 0.009146, 58.0, 5.622, 7.96, 3.547, -0.3585, -1.165, 2.487, 0.6224, 3.062, 0.9198, 4.0, 0.001745, 0.3098, 0.009599, 0.08115, 0.1902, 0.1815, 0.0288, 0.1771, 0.4485, 0.06407, 0.3469, 0.4938, 0.5169, 0.3734, 0.02922, 0.1201, 2.0, 2.0, 1.0, 328.0, 4.1, 8.0, 7.0, 0.1159, 0.6463, 0.8598, 0.02439, 0.01524, 0.07622, 0.75, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\11490.mid",29.0, 11.0, 34.0, 0.2496, 0.7136, 0.0368, 59.0, 4.746, 7.811, 3.412, -0.1241, -0.2237, 2.355, 0.7052, 2.792, 0.9141, 7.0, 0.008184, 0.3129, 0.01511, 0.08813, 0.1952, 0.1586, 0.03966, 0.1568, 0.44, 0.09703, 0.3971, 0.3456, 0.3871, 0.3597, 0.02703, 0.1497, 2.0, 2.0, 1.0, 625.0, 4.596, 8.0, 9.0, 0.3152, 0.6928, 0.672, 0.0208, 0.0, 0.088, 0.6132, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\11711.mid",23.0, 10.0, 31.0, 0.2644, 0.728, 0.007663, 57.17, 5.172, 6.886, 3.502, -0.1001, 0.1477, 2.738, 0.5893, 3.546, 0.6778, 0.0, 0.004885, 0.2594, 0.01466, 0.1319, 0.1788, 0.1314, 0.03713, 0.1788, 0.509, 0.1113, 0.4375, 0.5337, 1.156, 0.4146, 0.0439, 0.261, 4.0, 4.0, 2.0, 261.0, 2.373, 10.0, 9.0, 0.05364, 0.295, 0.8238, 0.3372, 0.003831, 0.07663, 1.405, 5.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\12231.mid",30.0, 11.0, 39.0, 0.2182, 0.7575, 0.02432, 60.0, 5.296, 7.695, 3.421, -0.7274, 0.2596, 2.306, 0.7699, 2.699, 0.9394, 7.0, 0.01025, 0.2631, 0.01217, 0.1028, 0.2007, 0.1512, 0.06554, 0.1524, 0.4563, 0.1486, 0.2737, 0.2961, 0.3615, 0.2224, 0.01213, 0.2096, 2.0, 2.0, 1.0, 1439.0, 3.362, 10.0, 11.0, 0.3377, 0.624, 0.6136, 0.1098, 0.008339, 0.1188, 0.8212, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\12284.mid",30.0, 11.0, 39.0, 0.2201, 0.7557, 0.02422, 60.0, 5.3, 7.685, 3.419, -0.7348, 0.2629, 2.319, 0.7708, 2.712, 0.9399, 7.0, 0.009088, 0.266, 0.01332, 0.1064, 0.1975, 0.1513, 0.06298, 0.1537, 0.458, 0.1425, 0.2836, 0.2991, 0.4456, 0.2369, 0.01346, 0.2079, 2.0, 2.0, 1.0, 1445.0, 3.376, 10.0, 11.0, 0.3349, 0.6215, 0.6166, 0.1107, 0.00692, 0.1163, 0.8189, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\12354.mid",21.0, 9.0, 29.0, 0.1907, 0.8093, 0.0, 59.0, 5.369, 6.442, 3.603, -0.4861, 0.3069, 2.425, 0.6939, 3.01, 1.079, 7.0, 0.002653, 0.2874, 0.01238, 0.1149, 0.1883, 0.1618, 0.02874, 0.1773, 0.4841, 0.07153, 0.4231, 0.3638, 0.751, 0.3224, 0.03793, 0.1517, 2.0, 2.0, 1.0, 388.0, 2.487, 9.0, 10.0, 0.05155, 0.317, 0.8969, 0.2397, 0.0232, 0.1289, 1.229, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\13298.mid",27.0, 9.0, 34.0, 0.219, 0.7531, 0.02793, 60.0, 5.001, 7.409, 3.468, 0.08686, 9.666E-4, 2.304, 0.6777, 2.734, 0.8737, 7.0, 0.002654, 0.3083, 0.01622, 0.08552, 0.2061, 0.152, 0.03907, 0.1615, 0.4531, 0.09475, 0.3084, 0.3511, 1.164, 0.2792, 0.009861, 0.1147, 2.0, 2.0, 1.0, 895.0, 1.453, 8.0, 8.0, 0.03128, 0.2246, 0.7419, 0.5888, 0.004469, 0.05698, 1.887, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\13302.mid",26.0, 10.0, 32.0, 0.2737, 0.7043, 0.02205, 58.0, 5.397, 7.981, 3.51, -0.3993, -0.5155, 2.046, 0.6582, 2.405, 0.8568, 7.0, 0.01257, 0.2628, 0.01467, 0.05909, 0.223, 0.1425, 0.0461, 0.197, 0.479, 0.1308, 0.2172, 0.2216, 0.4983, 0.1551, 0.009494, 0.1076, 2.0, 2.0, 1.0, 771.0, 2.659, 9.0, 10.0, 0.3735, 0.6109, 0.5564, 0.1699, 0.01297, 0.08431, 0.9186, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\13331.mid",27.0, 10.0, 33.0, 0.1711, 0.8128, 0.01604, 60.0, 5.572, 7.015, 3.704, 0.1121, -0.3465, 2.319, 0.6811, 2.796, 0.947, 4.0, 0.00352, 0.3092, 0.01173, 0.09475, 0.1895, 0.1399, 0.04341, 0.1728, 0.457, 0.1036, 0.2934, 0.4132, 0.6128, 0.3193, 0.01953, 0.1475, 2.0, 2.0, 1.0, 748.0, 2.597, 9.0, 10.0, 0.1591, 0.385, 0.7955, 0.2005, 0.008021, 0.115, 1.091, 1.0
