,Number_of_Pitches,Number_of_Pitch_Classes,Range,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Mean_Pitch,Mean_Pitch_Class,Pitch_Variability,Pitch_Class_Variability,Pitch_Skewness,Pitch_Class_Skewness,Average_Number_of_Simultaneous_Pitch_Classes,Variability_of_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Variability_of_Number_of_Simultaneous_Pitches,Most_Common_Vertical_Interval,Vertical_Minor_Seconds,Vertical_Thirds,Vertical_Tritones,Vertical_Perfect_Fourths,Vertical_Perfect_Fifths,Vertical_Sixths,Vertical_Sevenths,Vertical_Octaves,Perfect_Vertical_Intervals,Vertical_Dissonance_Ratio,Vertical_Minor_Third_Prevalence,Vertical_Major_Third_Prevalence,Chord_Duration,Standard_Triads,Diminished_and_Augmented_Triads,Non-Standard_Chords,Initial_Time_Signature_0,Initial_Time_Signature_1,Metrical_Diversity,Total_Number_of_Notes,Note_Density_per_Quarter_Note,Range_of_Rhythmic_Values,Number_of_Different_Rhythmic_Values_Present,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Dotted_Notes,Mean_Rhythmic_Value,Number_of_Pitched_Instruments
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1778.mid",23.0, 10.0, 31.0, 0.1733, 0.797, 0.0297, 60.0, 4.53, 6.731, 3.313, 0.3243, -0.4259, 2.347, 0.6436, 2.923, 0.8921, 0.0, 0.001103, 0.3056, 0.01158, 0.1109, 0.1804, 0.1478, 0.03337, 0.195, 0.4906, 0.0593, 0.3518, 0.3464, 1.404, 0.3488, 0.03153, 0.1379, 2.0, 2.0, 1.0, 404.0, 1.443, 7.0, 7.0, 0.009901, 0.05941, 0.7896, 0.7203, 0.0, 0.06683, 2.037, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1779.mid",22.0, 10.0, 29.0, 0.1979, 0.8021, 0.0, 60.0, 5.456, 6.529, 3.375, 0.01709, 0.4049, 2.332, 0.7024, 2.709, 0.9316, 3.0, 0.007003, 0.3523, 0.008559, 0.1076, 0.1795, 0.1644, 0.02704, 0.1387, 0.4305, 0.05586, 0.4052, 0.3394, 1.269, 0.3542, 0.01687, 0.07952, 2.0, 2.0, 1.0, 753.0, 1.623, 8.0, 8.0, 0.0, 0.1023, 0.911, 0.579, 0.005312, 0.05046, 1.679, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1780.mid",18.0, 8.0, 28.0, 0.191, 0.7978, 0.01124, 61.0, 4.98, 6.835, 3.462, -0.3785, -0.01704, 2.34, 0.6818, 2.87, 0.7978, 7.0, 0.005499, 0.2419, 0.01257, 0.1296, 0.1964, 0.1705, 0.02592, 0.1862, 0.5122, 0.08156, 0.2217, 0.3349, 1.169, 0.3617, 0.01596, 0.141, 2.0, 2.0, 1.0, 356.0, 1.679, 7.0, 7.0, 0.0, 0.1096, 0.8736, 0.5534, 0.005618, 0.0618, 1.711, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1781.mid",25.0, 11.0, 29.0, 0.3914, 0.6086, 0.0, 56.0, 5.385, 6.928, 3.558, -0.09543, 0.3245, 2.042, 0.699, 2.419, 0.9014, 0.0, 0.008036, 0.3084, 0.01406, 0.0899, 0.1838, 0.1652, 0.02612, 0.1878, 0.4696, 0.06017, 0.3017, 0.222, 1.461, 0.2473, 0.02747, 0.06731, 2.0, 2.0, 1.0, 608.0, 1.31, 7.0, 6.0, 0.0, 0.1168, 0.8306, 0.6349, 0.004934, 0.06579, 1.864, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1782.mid",31.0, 12.0, 32.0, 0.2823, 0.7055, 0.0122, 58.0, 5.353, 7.497, 3.247, 0.2777, 0.3259, 2.614, 0.6832, 3.347, 1.041, 7.0, 0.004826, 0.3229, 0.009724, 0.09961, 0.1889, 0.1388, 0.03346, 0.1784, 0.4689, 0.07459, 0.5239, 0.4664, 1.141, 0.4669, 0.02717, 0.1831, 4.0, 4.0, 2.0, 2869.0, 1.818, 9.0, 9.0, 0.01534, 0.1398, 0.7898, 0.5643, 0.001394, 0.061, 1.842, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1783.mid",27.0, 11.0, 31.0, 0.2714, 0.7233, 0.005305, 59.0, 5.277, 7.335, 3.252, -0.4064, 0.2553, 2.64, 0.6538, 3.423, 0.9792, 7.0, 0.005455, 0.3316, 0.01022, 0.08841, 0.1942, 0.1222, 0.03897, 0.1836, 0.4662, 0.08697, 0.5697, 0.4331, 0.541, 0.4115, 0.0266, 0.207, 2.0, 2.0, 1.0, 1131.0, 3.625, 8.0, 9.0, 0.168, 0.4589, 0.824, 0.1777, 0.0, 0.07869, 0.9465, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1784.mid",29.0, 11.0, 32.0, 0.2776, 0.7078, 0.01465, 58.0, 5.505, 7.314, 3.361, 0.2777, 0.4508, 2.593, 0.733, 3.172, 0.9895, 7.0, 0.01461, 0.3058, 0.009771, 0.114, 0.187, 0.1345, 0.04895, 0.1557, 0.4567, 0.1148, 0.4289, 0.4537, 0.9443, 0.3656, 0.004575, 0.1994, 2.0, 2.0, 1.0, 1297.0, 1.864, 9.0, 10.0, 0.01542, 0.1673, 0.7679, 0.4125, 0.006168, 0.0879, 1.71, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1785.mid",30.0, 11.0, 37.0, 0.152, 0.7513, 0.09666, 62.0, 5.809, 7.558, 3.372, -0.6815, -0.1702, 2.439, 0.643, 3.119, 0.8774, 7.0, 0.00196, 0.3226, 0.003984, 0.09242, 0.2384, 0.1122, 0.01737, 0.1945, 0.5263, 0.0404, 0.3, 0.5206, 1.376, 0.4197, 0.004629, 0.07947, 4.0, 4.0, 3.0, 3921.0, 1.887, 10.0, 10.0, 0.00204, 0.1107, 0.8738, 0.4621, 0.008926, 0.04259, 1.654, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1786.mid",23.0, 9.0, 33.0, 0.2804, 0.7176, 0.002012, 59.0, 4.557, 7.49, 3.43, -0.3403, -0.387, 2.421, 0.6503, 3.121, 0.9062, 7.0, 0.001427, 0.3226, 0.003113, 0.09381, 0.2365, 0.112, 0.01774, 0.1992, 0.5298, 0.03695, 0.2974, 0.5183, 1.573, 0.4325, 0.002599, 0.07057, 4.0, 4.0, 3.0, 3977.0, 1.914, 10.0, 10.0, 0.002012, 0.1489, 0.8745, 0.442, 0.01132, 0.04601, 1.631, 1.0
"C:\Users\jakob\Desktop\lute_music_project\data\mid_files\1787.mid",24.0, 9.0, 33.0, 0.2804, 0.7176, 0.002012, 59.0, 4.569, 7.405, 3.461, -0.3263, -0.374, 2.463, 0.6832, 3.118, 0.9045, 7.0, 0.01066, 0.3044, 0.0026, 0.1085, 0.2224, 0.1123, 0.03117, 0.1857, 0.5169, 0.07106, 0.2821, 0.5064, 1.457, 0.3935, 0.002597, 0.1329, 4.0, 4.0, 3.0, 3977.0, 1.908, 10.0, 10.0, 0.002012, 0.1486, 0.876, 0.4436, 0.01132, 0.04476, 1.629, 1.0
