index,Range
798,38
799,38
800,38
801,36
802,36
803,38
804,34
805,34
806,39
807,39
808,39
809,36
810,36
811,39
812,36
813,39
814,36
815,39
816,34
817,39
818,38
819,38
820,29
821,38
822,36
823,55
824,43
825,29
826,29
827,28
828,34
829,39
830,36
831,36
832,41
833,19
834,41
835,32
836,38
837,28
838,38
839,39
840,31
841,34
842,41
843,41
844,31
845,39
846,39
847,29
848,41
849,14
850,41
851,34
852,33
853,28
854,36
855,36
856,36
857,33
858,33
859,32
860,14
861,32
862,27
863,38
864,38
865,36
866,46
867,38
868,38
869,19
870,48
871,29
872,21
873,46
874,41
875,17
876,53
877,43
878,19
879,50
880,32
881,29
882,31
883,41
884,38
885,31
886,31
887,29
888,34
889,31
890,31
891,31
892,29
893,27
894,29
895,29
896,33
897,33
898,32
899,33
900,33
901,28
902,31
903,29
904,33
905,34
906,31
907,31
908,31
909,29
910,39
911,31
912,29
913,29
914,34
915,26
916,31
917,32
918,36
919,39
920,36
921,29
922,36
923,36
924,36
925,29
926,34
927,37
928,34
929,46
930,37
931,45
932,35
933,37
934,36
935,37
936,36
937,36
938,38
939,36
940,36
941,36
942,38
943,34
944,32
945,31
946,32
947,26
948,26
949,29
950,37
951,48
952,33
953,50
954,33
955,29
956,31
957,41
958,36
959,34
960,41
961,36
962,29
963,39
964,26
965,39
966,36
967,26
968,39
969,34
970,33
971,33
972,31
973,31
974,38
975,38
976,36
977,34
978,34
979,26
980,33
981,31
982,32
983,31
984,29
985,29
986,29
987,24
988,29
989,34
990,29
991,34
992,39
993,32
994,32
995,32
996,43
997,36
998,34
999,41
1000,36
1001,36
1002,32
1003,36
1004,31
1005,36
1006,36
1007,39
1008,36
1009,39
1010,36
1011,41
1012,32
1013,34
1014,34
1015,31
1016,29
1017,38
1018,36
1019,39
1020,32
1021,15
1022,29
1023,35
1024,28
1025,31
1026,36
1027,31
1028,27
1029,32
1030,34
1031,34
1032,38
1033,38
1034,39
1035,32
1036,36
1037,29
1038,36
1039,36
1040,29
1041,29
1042,33
1043,33
1044,31
1045,31
1046,39
1047,34
1048,33
1049,33
1050,29
1051,33
1052,34
1053,33
1054,34
1055,31
1056,33
1057,33
1058,34
1059,41
1060,34
1061,44
1062,41
1063,44
1064,29
1065,29
1066,38
1067,38
1068,31
1069,31
1070,34
1071,45
1072,15
1073,50
1074,39
1075,21
1076,41
